GEO2010,PctPoorPersons_1980,PctPoorPersons_1990,PctPoorPersons_2000,PctPoorPersons_2011_15,PctPoorChildren_1990,PctPoorChildren_2000,PctPoorChildren_2011_15,PctPoorElderly_1990,PctPoorElderly_2000,PctPoorElderly_2011_15,PctUnemployed_1980,PctUnemployed_1990,PctUnemployed_2000,PctUnemployed_2011_15,Pct16andOverEmployed_1980,Pct16andOverEmployed_1990,Pct16andOverEmployed_2000,Pct16andOverEmployed_2011_15,Pct25andOverWoutHS_1980,Pct25andOverWoutHS_1990,Pct25andOverWoutHS_2000,Pct25andOverWoutHS_2011_15,PctHshldPhone_2000,PctHshldPhone_2011_15,PctHshldCar_2000,PctHshldCar_2011_15,AvgFamilyIncAdj_1980,AvgFamilyIncAdj_1990,AvgFamilyIncAdj_2000,AvgFamilyIncAdj_2011_15,PctChgAvgFamilyIncAdj_1980_1990,PctChgAvgFamilyIncAdj_1990_2000,PctChgAvgFamilyIncA_2000_2011_15,fs_client_2000,fs_client_2001,fs_client_2002,fs_client_2003,fs_client_2004,fs_client_2005,fs_client_2006,fs_client_2007,fs_client_2008,fs_client_2009,fs_client_2010,fs_client_2011,fs_client_2012,fs_client_2013,fs_client_2014,fs_client_2015,fs_client_2016,tanf_client_2000,tanf_client_2001,tanf_client_2002,tanf_client_2003,tanf_client_2004,tanf_client_2005,tanf_client_2006,tanf_client_2007,tanf_client_2008,tanf_client_2009,tanf_client_2010,tanf_client_2011,tanf_client_2012,tanf_client_2013,tanf_client_2014,tanf_client_2015,tanf_client_2016,Rate_crimes_pt1_violent_2000,Rate_crimes_pt1_violent_2001,Rate_crimes_pt1_violent_2002,Rate_crimes_pt1_violent_2003,Rate_crimes_pt1_violent_2004,Rate_crimes_pt1_violent_2005,Rate_crimes_pt1_violent_2006,Rate_crimes_pt1_violent_2007,Rate_crimes_pt1_violent_2008,Rate_crimes_pt1_violent_2009,Rate_crimes_pt1_violent_2010,Rate_crimes_pt1_violent_2011,Rate_crimes_pt1_violent_2012,Rate_crimes_pt1_violent_2013,Rate_crimes_pt1_violent_2014,Rate_crimes_pt1_violent_2015,Rate_crimes_pt1_violent_2016,Rate_crimes_pt1_property_2000,Rate_crimes_pt1_property_2001,Rate_crimes_pt1_property_2002,Rate_crimes_pt1_property_2003,Rate_crimes_pt1_property_2004,Rate_crimes_pt1_property_2005,Rate_crimes_pt1_property_2006,Rate_crimes_pt1_property_2007,Rate_crimes_pt1_property_2008,Rate_crimes_pt1_property_2009,Rate_crimes_pt1_property_2010,Rate_crimes_pt1_property_2011,Rate_crimes_pt1_property_2012,Rate_crimes_pt1_property_2013,Rate_crimes_pt1_property_2014,Rate_crimes_pt1_property_2015,Rate_crimes_pt1_property_2016
Tract 83.01,s,s,9.5,3.8,s,20,0,29,22,0,s,s,4,3.5,s,s,82,83,s,s,6,3,98,100,80,84,s,s,124467,174447,s,s,40,119,80,56,85,110,92,73,67,73,99,110,129,127,128,115,96,74,72,52,36,42,52,38,30,23,28,39,45,38,42,33,32,29,33,23,16,17,16,17,11,10,11,13,9.6,8.3,9.2,6.6,3.5,5.7,5.3,2.2,79,80,70,70,85,53,59,56,64,48,45,47,63,62,63,58,57
Tract 83.02,s,s,4.7,6.5,s,0,0,3.6,11,5.2,s,s,5.2,2.2,s,s,70,75,s,s,16,5,100,98,85,80,s,s,115499,176346,s,s,53,126,233,676,1284,1776,1926,1858,1842,2132,2488,2803,2941,2967,2882,2633,2556,2493,61,67,94,112,106,76,63,44,34,36,46,78,101,123,156,166,191,19,11,20,15,13,7.9,8.2,10,12,7.8,5.4,11,10,10,8.6,11,8.6,75,103,79,81,100,76,66,58,61,52,42,56,83,73,68,80,109
Tract 84.02,s,s,25,10,s,42,6.9,39,32,31,s,s,12,9.8,s,s,52,72,s,s,28,9.5,100,97,54,64,s,s,66110,130686,s,s,98,314,291,275,289,310,318,312,281,283,281,316,346,321,311,308,294,264,96,82,75,67,83,83,67,54,48,57,78,75,60,34,56,46,39,11,13,19,23,16,13,21,16,19,16,14,13,10,9.8,8.4,13,6.5,39,71,73,60,97,80,86,62,57,69,49,72,60,81,87,67,62
Tract 84.10,s,s,19,8.5,s,38,0,13,20,12,s,s,21,3.2,s,s,42,78,s,s,35,5,93,98,67,77,s,s,57909,108973,s,s,88,401,415,412,404,424,410,362,318,324,368,400,419,412,375,329,301,229,218,237,223,207,193,164,170,129,121,135,130,131,117,98,87,61,43,36,48,32,46,36,36,31,30,31,37,30,33,29,25,25,39,36,71,105,83,64,113,85,110,92,95,102,96,78,125,146,157,146,111
Tract 87.01,s,s,19,11,s,19,9.3,10,11,0,s,s,15,5.5,s,s,49,71,s,s,26,12,95,97,59,75,s,s,71217,104016,s,s,46,599,569,637,675,763,735,603,532,540,572,669,778,746,742,696,648,502,351,319,323,334,352,309,273,236,198,214,224,226,211,194,180,153,126,15,23,13,15,16,21,19,18,16,19,17,18,15,11,13,9.1,9.1,39,37,34,55,54,41,36,68,43,34,42,56,65,49,76,52,35
Tract 87.02,s,s,26,25,s,31,29,22,24,25,s,s,15,15,s,s,44,57,s,s,44,15,93,95,47,63,s,s,70950,98502,s,s,39,427,401,354,440,429,428,423,415,432,503,511,586,632,594,550,530,469,239,200,192,218,216,193,152,164,167,185,150,173,185,148,145,164,140,21,27,18,23,24,22,30,21,24,22,26,36,11,12,11,14,13,44,56,65,84,93,49,49,92,56,57,67,53,59,38,47,60,61
Tract 88.02,s,s,29,26,s,43,41,27,22,17,s,s,20,17,s,s,39,52,s,s,42,15,95,96,56,63,s,s,60078,78333,s,s,30,907,845,826,940,1117,1171,1113,1057,1174,1378,1497,1534,1576,1618,1398,1315,1164,579,495,470,533,674,667,575,512,553,555,494,499,486,497,435,405,345,29,24,18,26,20,26,18,18,18,17,13,15,20,17,15,19,19,51,45,43,44,48,44,47,52,46,45,47,38,48,52,64,54,52
Tract 88.03,s,s,44,52,s,57,62,21,46,56,s,s,36,23,s,s,36,37,s,s,25,20,92,96,39,45,s,s,27385,25830,s,s,-5.7,398,478,521,556,653,670,648,650,755,764,850,949,1025,1075,991,887,839,225,296,324,309,351,287,275,244,279,264,286,311,327,309,286,262,263,55,63,55,81,54,56,59,51,44,32,34,30,32,32,28,31,35,117,137,149,190,243,139,148,184,161,137,89,136,119,115,96,114,119
Tract 88.04,s,s,29,30,s,41,15,25,21,27,s,s,11,22,s,s,52,48,s,s,36,19,95,94,45,59,s,s,62026,49637,s,s,-20,575,612,629,724,883,868,802,785,873,1007,1117,1256,1323,1325,1226,1158,1046,391,363,347,374,458,413,426,373,410,400,366,419,463,446,418,376,317,28,38,31,30,33,35,23,30,26,13,24,23,28,19,25,25,29,71,71,69,74,71,71,54,40,52,38,42,53,65,60,73,59,71
Tract 89.03,s,s,23,33,s,36,55,24,13,4,s,s,14,13,s,s,47,51,s,s,42,24,94,97,58,49,s,s,46665,35166,s,s,-25,734,688,705,887,1031,1074,1030,936,1027,1223,1314,1440,1432,1419,1251,1171,1050,431,419,417,494,554,544,516,430,461,512,484,487,476,464,435,416,359,26,17,24,28,25,24,23,26,18,18,17,11,16,14,17,17,19,46,51,51,62,57,46,56,56,44,54,48,55,56,73,68,72,56
Tract 89.04,s,s,36,25,s,51,12,22,23,34,s,s,14,19,s,s,44,53,s,s,38,24,93,98,39,45,s,s,36636,52306,s,s,43,882,938,1036,1229,1404,1455,1390,1398,1440,1593,1683,1837,1829,1824,1807,1777,1616,506,545,622,652,762,749,709,665,647,636,587,578,561,537,525,504,464,37,32,31,38,30,35,32,31,34,32,26,21,28,22,25,24,21,47,54,55,66,63,70,57,58,43,58,40,42,50,59,49,41,34
Tract 90,s,s,24,18,s,5.8,0,44,43,38,s,s,10,10,s,s,37,43,s,s,34,17,100,99,58,69,s,s,69733,85413,s,s,22,253,234,234,249,258,277,296,298,313,358,435,554,628,663,605,640,688,67,66,68,72,74,81,96,74,69,65,88,99,106,114,96,91,117,5.1,3.8,9.5,6.9,9.2,6.7,5,11,5.3,7.8,2.6,5.5,5.1,5.5,2.9,4.4,2.9,28,37,30,45,42,28,28,42,53,48,56,41,39,50,60,36,37
Tract 91.02,s,s,28,28,s,45,42,26,20,19,s,s,12,15,s,s,44,50,s,s,32,16,99,98,52,61,s,s,67415,60925,s,s,-9.6,998,1055,1132,1283,1452,1541,1513,1476,1563,1724,1838,2047,2301,2348,2260,2225,2029,674,731,759,777,888,948,895,823,809,838,830,838,920,908,944,897,854,26,18,23,21,21,24,24,23,24,18,17,21,23,19,24,22,23,58,46,56,74,77,76,67,65,57,47,42,72,62,81,97,100,90
Tract 92.01,s,s,24,21,s,21,15,5.8,22,22,s,s,12,16,s,s,52,55,s,s,37,13,100,93,55,66,s,s,44382,115654,s,s,161,174,162,131,159,186,168,169,158,193,274,345,370,351,380,370,357,363,107,104,84,73,71,82,96,81,92,119,128,151,116,128,104,81,75,13,14,11,9.2,16,16,10,12,9.7,13,10,8.6,11,8.1,9.6,9.6,12,59,72,59,56,38,53,31,38,36,30,32,40,29,29,54,57,44
Tract 92.03,s,s,25,19,s,37,22,23,15,15,s,s,11,17,s,s,54,65,s,s,34,17,98,100,64,65,s,s,58478,92872,s,s,59,494,488,519,597,683,712,685,706,682,782,863,1013,1049,1035,962,933,862,278,259,298,286,316,333,327,301,304,296,307,322,324,302,279,260,240,17,13,12,12,8.8,12,12,10,11,13,9.7,7.7,7.4,9.3,11,9.7,8.1,30,31,34,29,39,29,19,34,32,29,36,26,24,29,37,34,17
Tract 92.04,s,s,29,41,s,47,56,36,19,32,s,s,14,28,s,s,44,41,s,s,31,20,98,96,42,42,s,s,46879,43912,s,s,-6.3,373,369,392,451,516,538,517,533,516,591,652,766,793,782,727,705,651,210,196,225,216,238,252,247,227,229,224,232,243,245,228,210,196,181,12,20,16,17,17,24,26,12,8.7,13,11,9.8,17,9.8,14,14,16,56,50,61,51,51,60,34,32,34,29,23,34,40,39,62,42,47
Tract 93.01,s,s,14,7.9,s,12,0,7.4,11,18,s,s,12,16,s,s,53,59,s,s,17,8,99,99,90,87,s,s,92274,104859,s,s,14,161,193,206,224,248,277,322,299,276,341,404,476,539,532,472,474,424,82,109,123,97,120,151,165,141,100,118,114,131,149,147,109,99,77,16,15,16,16,13,20,17,20,18,12,9.9,11,12,12,9.9,13,12,75,87,66,63,57,56,55,43,36,46,59,58,51,55,70,74,85
Tract 93.02,s,s,12,7,s,22,0,22,5.6,12,s,s,14,10,s,s,55,62,s,s,30,18,95,96,61,77,s,s,74415,87972,s,s,18,103,91,138,182,174,212,186,169,188,237,253,280,273,287,267,252,257,69,63,89,101,90,97,90,64,62,86,98,84,71,65,69,53,72,17,21,27,24,21,28,18,21,39,32,24,21,27,32,17,34,26,80,66,65,64,68,55,65,104,106,92,124,46,159,183,208,177,142
Tract 94,s,s,7.9,12,s,7,1.1,8.6,11,7,s,s,10,18,s,s,51,51,s,s,21,10,99,99,81,80,s,s,101843,96680,s,s,-5.1,271,245,268,327,334,376,382,340,382,498,573,734,728,681,619,655,604,149,171,187,180,163,171,156,150,150,164,184,227,210,160,131,151,143,11,10,9.6,11,9.8,11,15,5.8,8.9,6.7,5.8,8.4,7.2,7.4,8.6,9.6,9.6,46,61,50,55,52,36,37,30,35,34,30,42,52,58,62,59,64
Tract 95.01,s,s,16,23,s,9.7,28,12,10,18,s,s,32,11,s,s,47,50,s,s,20,19,98,98,65,74,s,s,69043,48515,s,s,-30,338,315,344,447,513,565,491,538,629,711,883,1090,1166,1199,1152,1314,1279,183,198,214,265,270,247,203,229,247,281,292,323,289,280,270,270,236,6.6,8.7,4.7,16,6,8.3,11,7.1,4.2,7.5,4.8,3.8,4.5,3.5,5.3,5.7,3.8,23,43,42,39,43,33,27,26,25,23,23,12,21,21,24,19,14
Tract 95.03,s,s,7,8.9,s,6.3,9,7.6,6.9,9.4,s,s,6.8,7.1,s,s,51,56,s,s,8.9,3,99,98,91,91,s,s,103363,98659,s,s,-4.6,102,92,99,109,130,142,147,168,181,223,295,383,374,370,366,347,326,77,64,59,55,51,60,63,56,66,63,107,145,125,142,137,106,107,4.2,5.9,7.6,2.3,4.7,4.4,8.7,8.1,3.1,5.5,6.5,2.7,6.2,6.2,6.5,5.8,5.2,32,28,30,31,29,42,28,19,25,22,27,31,41,32,42,41,28
Tract 95.04,s,s,13,12,s,11,2.1,9.8,17,17,s,s,14,16,s,s,51,47,s,s,22,12,99,100,79,84,s,s,79193,84741,s,s,7,157,157,151,186,224,236,244,255,287,348,384,465,502,469,448,444,381,103,107,103,108,111,126,120,114,134,134,139,141,144,118,116,122,104,12,12,8.4,9.4,8.9,18,14,14,11,9.1,8.6,11,11,9.6,7.6,6.6,8.3,35,46,39,43,34,38,40,38,39,41,38,45,48,49,65,54,50
