CENSUS_TRACT,WARD,LATITUDE,start_month,start_day,start_hour,longitude2,ucr-rank
5500.0,2,38.90789687188221,10,7,12,77.04772047507379,7
10500.0,6,38.8792776050343,12,27,19,77.00986526727759,6
5201.0,2,38.9114965746407,12,27,19,77.03196130221491,7
8802.0,5,38.9038249760097,12,28,0,76.9858310912059,4
10400.0,8,38.847000848311296,12,27,17,76.9978919069429,6
6202.0,2,38.8920963680813,6,13,18,77.0473295179694,6
5600.0,2,38.899571857670395,6,7,21,77.0507929154108,6
3301.0,5,38.9218331512454,6,12,23,77.0090524020357,6
7603.0,7,38.8599468289651,9,18,17,76.9563441875714,6
9905.0,7,38.8834985163572,9,26,21,76.92757358262071,6
9603.0,7,38.890876210146104,9,27,9,76.94359976251091,7
1002.0,3,38.939438477687794,9,25,9,77.07534381932841,6
5201.0,2,38.9072352649165,10,7,14,77.0332622107641,3
1200.0,3,38.952693884640496,10,7,13,77.0684819459857,7
5500.0,2,38.9099274291219,10,7,15,77.04360696372791,6
1901.0,4,38.9664126164514,10,7,19,77.02597414452829,4
10700.0,2,38.9031434735571,10,16,15,77.0396702609364,6
3900.0,1,38.926303461345604,10,16,2,77.0409517144382,6
8802.0,5,38.9038513078517,10,16,19,76.9809543970346,3
10700.0,2,38.9056467723411,10,16,20,77.04257698804291,6
7804.0,7,38.89611855392221,10,16,2,76.9264541235003,7
5301.0,2,38.91297197465,12,17,1,77.0384881077787,4
8903.0,5,38.90562536003279,12,17,0,76.97761048367471,8
9503.0,5,38.9458386327476,12,27,1,76.9784053463293,6
3400.0,1,38.926390790505295,12,27,0,77.01466928837971,6
3500.0,1,38.923254670792495,12,27,6,77.0223950513847,6
10100.0,2,38.9067032638736,9,17,18,77.0350028835102,5
11100.0,5,38.928578504924204,9,18,6,76.97718809526641,6
7409.0,8,38.8437195048923,9,17,11,76.9768811565825,5
2502.0,4,38.938144962308996,9,27,14,77.0245912572209,6
8904.0,5,38.8995526010333,10,7,0,76.9723440384127,3
3400.0,1,38.918508305088,10,16,22,77.0162128457658,8
3000.0,1,38.9295130123787,10,13,21,77.0327305534988,6
3700.0,1,38.920324765085795,10,24,18,77.0318730069687,6
1100.0,3,38.9644454663154,10,24,20,77.0753125628092,6
9102.0,5,38.9201485438164,10,24,20,76.99031358205441,6
5800.0,2,38.894788294485295,10,24,21,77.0224437519427,6
4300.0,2,38.916991301652295,10,24,18,77.0332436990625,7
4400.0,1,38.9166409507405,10,24,22,77.02962283834809,4
5800.0,2,38.8990572843221,12,22,12,77.02704478338549,6
4801.0,6,38.911859584794605,12,27,13,77.01990096959109,7
10700.0,2,38.9025250378214,12,27,14,77.0375258276125,3
202.0,2,38.904165588716005,12,27,13,77.06934613605941,6
11000.0,6,38.874646814006795,12,1,8,77.0144396936576,6
7502.0,8,38.851256793306,9,6,6,76.96561184101209,5
4801.0,6,38.914084725535105,9,26,13,77.01941731075641,6
6900.0,6,38.8825386514268,9,26,15,76.9902495355631,6
9400.0,5,38.9311364605869,9,26,9,76.9752035618045,5
9902.0,7,38.86677152162979,10,12,11,76.94739829917441,6
7503.0,8,38.8611700271739,10,16,8,76.9839730077099,6
9102.0,5,38.9222116506408,10,16,13,76.9931501205792,6
4400.0,1,38.918641178529604,10,16,10,77.0280900186956,7
7200.0,6,38.877530310108,10,16,15,76.9955860924748,6
9904.0,7,38.885832794897105,10,25,5,76.9293807805405,3
10900.0,8,38.8235965573052,9,16,17,77.0088902429937,7
3600.0,1,38.9215871483569,9,9,20,77.02704179595041,6
3000.0,1,38.9295130123787,9,17,14,77.0327305534988,6
10200.0,6,38.8871137364476,9,17,9,77.0192140266841,7
7804.0,7,38.9001791631257,9,17,15,76.9382778958235,6
7901.0,6,38.898986081840604,9,17,16,76.976990053905,4
6500.0,6,38.8837371726677,9,15,6,76.9995159262595,6
8301.0,6,38.897330802028996,9,25,23,77.0013141648102,4
2802.0,1,38.9274226952309,9,26,3,77.03409044401201,4
