PctPoorPersons_1980,PctPoorPersons_1990,PctPoorPersons_2000,PctPoorPersons_2011_15,PctPoorChildren_1990,PctPoorChildren_2000,PctPoorChildren_2011_15,PctPoorElderly_1990,PctPoorElderly_2000,PctPoorElderly_2011_15,PctUnemployed_1980,PctUnemployed_1990,PctUnemployed_2000,PctUnemployed_2011_15,Pct16andOverEmployed_1980,Pct16andOverEmployed_1990,Pct16andOverEmployed_2000,Pct16andOverEmployed_2011_15,Pct25andOverWoutHS_1980,Pct25andOverWoutHS_1990,Pct25andOverWoutHS_2000,Pct25andOverWoutHS_2011_15,PctHshldPhone_2000,PctHshldPhone_2011_15,PctHshldCar_2000,PctHshldCar_2011_15,AvgFamilyIncAdj_1980,AvgFamilyIncAdj_1990,AvgFamilyIncAdj_2000,AvgFamilyIncAdj_2011_15,PctChgAvgFamilyIncAdj_1980_1990,PctChgAvgFamilyIncAdj_1990_2000,PctChgAvgFamilyIncA_2000_2011_15,fs_client_2000,fs_client_2001,fs_client_2002,fs_client_2003,fs_client_2004,fs_client_2005,fs_client_2006,fs_client_2007,fs_client_2008,fs_client_2009,fs_client_2010,fs_client_2011,fs_client_2012,fs_client_2013,fs_client_2014,fs_client_2015,fs_client_2016,tanf_client_2000,tanf_client_2001,tanf_client_2002,tanf_client_2003,tanf_client_2004,tanf_client_2005,tanf_client_2006,tanf_client_2007,tanf_client_2008,tanf_client_2009,tanf_client_2010,tanf_client_2011,tanf_client_2012,tanf_client_2013,tanf_client_2014,tanf_client_2015,tanf_client_2016,Rate_crimes_pt1_violent_2000,Rate_crimes_pt1_violent_2001,Rate_crimes_pt1_violent_2002,Rate_crimes_pt1_violent_2003,Rate_crimes_pt1_violent_2004,Rate_crimes_pt1_violent_2005,Rate_crimes_pt1_violent_2006,Rate_crimes_pt1_violent_2007,Rate_crimes_pt1_violent_2008,Rate_crimes_pt1_violent_2009,Rate_crimes_pt1_violent_2010,Rate_crimes_pt1_violent_2011,Rate_crimes_pt1_violent_2012,Rate_crimes_pt1_violent_2013,Rate_crimes_pt1_violent_2014,Rate_crimes_pt1_violent_2015,Rate_crimes_pt1_violent_2016,Rate_crimes_pt1_property_2000,Rate_crimes_pt1_property_2001,Rate_crimes_pt1_property_2002,Rate_crimes_pt1_property_2003,Rate_crimes_pt1_property_2004,Rate_crimes_pt1_property_2005,Rate_crimes_pt1_property_2006,Rate_crimes_pt1_property_2007,Rate_crimes_pt1_property_2008,Rate_crimes_pt1_property_2009,Rate_crimes_pt1_property_2010,Rate_crimes_pt1_property_2011,Rate_crimes_pt1_property_2012,Rate_crimes_pt1_property_2013,Rate_crimes_pt1_property_2014,Rate_crimes_pt1_property_2015,Rate_crimes_pt1_property_2016,CENSUS_TRACT
s,s,3.4,7.4,s,1.4,0.8,2.9,2.4,6.7,s,s,3.9,4.7,s,s,73,66.0,s,s,4.2,2.4,100,96.0,79,78.0,s,s,268291,285034,s,s,6.2,20,15,13,16,19,20,23,16,17,20,32,31.0,40.0,50.0,47.0,52.0,51.0,0,0,0,s,s,s,s,s,s,s,s,s,s,s,s,s,s,3.2,4.1,2.6,2.6,2.6,0.6,1.6,0.3,1.3,0.6,1.0,0.3,1.3,0.6,1.3,0.6,0.3,24,25.0,21.0,27.0,22.0,17.0,16.0,11.0,11.0,18.0,16.0,17.0,15.0,28.0,17.0,12.0,14.0,1401.0
s,s,13,9.7,s,4,6.2,21.0,33,3,s,s,1.9,3.1,s,s,43,68.0,s,s,17,9.5,97,99.0,74,75.0,s,s,161698,237377,s,s,47,19,13,12,15,18,19,21,15,16,19,30,29.0,37.0,47.0,44.0,48.0,48.0,0,0,0,s,s,s,s,s,s,s,s,s,s,s,s,s,s,1,1.8,2.4,1.6,2.5,1.7,1.2,0.9,0.9,1.0,1.3,2.7,0.7,0.3,0.7,0.3,0.3,20,16.0,19.0,21.0,17.0,18.0,14.0,12.0,17.0,20.0,17.0,16.0,19.0,23.0,12.0,15.0,16.0,1402.0
s,s,1.6,1.7,s,0,0.8,3.8,3.8,0,s,s,1.8,2.8,s,s,63,65.0,s,s,2.1,1.1,100,99.0,91,98.0,s,s,212200,242619,s,s,14,0,7,5,5,8,s,s,6,5,7,12,22.0,25.0,24.0,16.0,26.0,14.0,s,s,s,0,s,0,0,s,0,0,0,s,s,6,s,6,0,0.5,0.7,0.0,0.3,0.5,0.2,0.5,0.2,0.3,0.0,0.3,1.2,0.2,0.0,0.8,0.2,0.5,15,16.0,14.0,16.0,10.0,13.0,8.4,11.0,9.7,18.0,14.0,11.0,9.8,14.0,21.0,12.0,14.0,1500.0
s,s,4.9,3.9,s,6.9,1.1,3.8,5.6,6.4,s,s,3.9,8.5,s,s,63,62.0,s,s,3.8,2.3,99,97.0,90,97.0,s,s,184793,208653,s,s,13,63,58,64,73,78,94,93,102,103,154,181,204.0,209.0,203.0,198.0,216.0,184.0,29,27,31,34,36,54,33,37,37,42,44,56,51,56,65,60,50,5,5.2,2.5,5.2,4.2,5.3,5.3,6.0,6.8,3.0,4.8,2.8,5.6,5.3,3.5,3.0,5.3,37,42.0,43.0,45.0,28.0,31.0,27.0,35.0,35.0,44.0,35.0,34.0,50.0,38.0,56.0,45.0,34.0,1600.0
s,s,4.3,9.0,s,2.2,18,3.9,4.4,1.8,s,s,5.8,8.4,s,s,58,73.0,s,s,15,11.0,100,99.0,86,93.0,s,s,101129,135451,s,s,34,156,152,130,135,158,173,192,192,193,235,262,308.0,347.0,362.0,342.0,334.0,306.0,87,79,67,65,78,71,77,81,75,90,101,94,107,99,100,98,92,13,13.0,18.0,16.0,19.0,13.0,14.0,20.0,14.0,13.0,7.2,7.6,7.6,6.8,7.2,6.1,11.0,80,89.0,82.0,69.0,64.0,54.0,40.0,49.0,52.0,58.0,60.0,61.0,60.0,65.0,106.0,88.0,66.0,1702.0
s,s,12,13.0,s,12,13,16.0,20,17,s,s,8.8,7.0,s,s,60,67.0,s,s,24,18.0,99,96.0,64,72.0,s,s,79550,85507,s,s,7.5,180,178,149,192,208,215,251,258,286,424,550,693.0,832.0,877.0,857.0,917.0,943.0,81,77,55,66,68,77,86,77,103,128,153,150,198,173,185,185,173,4.6,5.1,8.6,18.0,8.6,8.2,5.7,13.0,5.0,6.6,6.0,4.0,8.5,3.1,4.8,7.4,6.0,34,35.0,44.0,40.0,29.0,25.0,20.0,20.0,20.0,14.0,12.0,12.0,18.0,25.0,32.0,16.0,16.0,1803.0
s,s,17,16.0,s,27,25,11.0,10,15,s,s,7.2,9.9,s,s,61,62.0,s,s,29,23.0,97,99.0,64,74.0,s,s,69454,60139,s,s,-13,299,311,333,383,423,447,504,461,505,624,902,1219.0,1382.0,1351.0,1235.0,1367.0,1357.0,141,149,179,187,178,202,246,187,197,227,240,296,322,301,293,295,263,7.7,9.6,13.0,14.0,12.0,10.0,11.0,18.0,14.0,13.0,9.2,7.6,13.0,10.0,8.5,14.0,9.4,30,38.0,40.0,36.0,40.0,27.0,21.0,33.0,36.0,29.0,28.0,28.0,33.0,39.0,80.0,79.0,58.0,1804.0
s,s,11,11.0,s,18,19,7.6,8.8,18,s,s,5.1,9.2,s,s,56,60.0,s,s,26,7.2,99,97.0,81,84.0,s,s,90304,92596,s,s,2.5,298,275,275,311,366,403,430,481,535,643,750,879.0,938.0,911.0,892.0,886.0,758.0,164,178,186,167,179,172,168,179,194,205,235,264,271,243,235,242,191,13,6.0,9.5,13.0,12.0,9.5,9.0,7.0,9.0,12.0,9.2,8.0,11.0,9.0,7.0,8.7,5.0,33,31.0,41.0,38.0,28.0,36.0,21.0,23.0,25.0,25.0,28.0,33.0,32.0,31.0,40.0,45.0,40.0,1901.0000000000002
s,s,8.8,8.5,s,12,25,11.0,2.8,6,s,s,6.7,7.6,s,s,53,63.0,s,s,15,10.0,99,98.0,79,89.0,s,s,98017,103721,s,s,5.8,158,139,142,160,192,192,170,160,192,254,327,351.0,333.0,337.0,325.0,292.0,281.0,79,74,83,98,106,87,72,80,91,87,103,113,111,101,87,77,76,6.9,5.9,7.9,13.0,11.0,15.0,12.0,12.0,8.1,11.0,7.6,12.0,7.6,10.0,6.1,3.6,3.6,45,50.0,62.0,58.0,38.0,44.0,49.0,40.0,49.0,50.0,55.0,59.0,29.0,59.0,46.0,49.0,37.0,1902.0
s,s,17,6.8,s,15,3.1,23.0,20,13,s,s,3,7.5,s,s,56,62.0,s,s,26,21.0,97,96.0,61,68.0,s,s,106284,129112,s,s,21,175,184,140,188,199,189,189,210,218,302,392,459.0,498.0,535.0,516.0,531.0,516.0,81,95,75,86,103,92,71,66,79,109,114,123,128,113,84,79,79,7.6,4.9,7.7,13.0,16.0,11.0,10.0,14.0,14.0,8.1,9.8,3.8,7.3,8.5,8.5,6.8,7.3,30,38.0,48.0,40.0,40.0,50.0,33.0,33.0,30.0,23.0,32.0,33.0,31.0,30.0,37.0,26.0,27.0,2001.0000000000002
